family_a	family_b	split_a	split_b	status	best_evalue
RF00019	RF03714	train	train	OK	0.003
RF00019	RF04210	train	train	OK	0.00027
RF00021	RF00514	train	train	OK	0.0062
RF00021	RF01469	train	train	OK	0.00018
RF00021	RF01812	train	train	OK	9.2e-06
RF00021	RF02399	train	train	OK	9.8e-06
RF00021	RF02611	train	train	OK	0.0078
RF00021	RF02871	train	train	OK	0.00025
RF00022	RF02278	train	train	OK	0.0072
RF00022	RF02422	train	train	OK	0.00015
RF00022	RF02630	train	train	OK	0.0012
RF00022	RF02631	train	train	OK	4e-05
RF00022	RF02732	train	train	OK	0.0018
RF00022	RF02837	train	train	OK	0.00067
RF00022	RF02869	train	train	OK	0.0046
RF00022	RF02871	train	train	OK	0.00068
RF00023	RF00499	train	train	OK	1.4e-06
RF00023	RF01684	train	train	OK	0.005
RF00023	RF01849	train	train	OK	1.4e-10
RF00023	RF01850	train	train	OK	2.4e-19
RF00023	RF01851	train	train	OK	3e-12
RF00023	RF01852	train	train	OK	0.00029
RF00023	RF02194	train	train	OK	3.3e-09
RF00023	RF02223	train	train	OK	0.00013
RF00023	RF02553	train	train	OK	0.00035
RF00024	RF01005	train	train	OK	8.9e-06
RF00024	RF01812	train	train	OK	2.1e-06
RF00024	RF02905	train	train	OK	0.00028
RF00024	RF03366	train	train	OK	0.00016
RF00024	RF03600	train	train	OK	5e-05
RF00024	RF04106	train	train	OK	0.0021
RF00027	RF00254	train	train	OK	8.4e-05
RF00027	RF00707	train	train	OK	3.7e-05
RF00027	RF00827	train	train	OK	0.0064
RF00027	RF00832	train	train	OK	0.00036
RF00027	RF00891	train	train	OK	6.1e-05
RF00027	RF00911	train	train	OK	0.0004
RF00027	RF00920	train	train	OK	0.00039
RF00027	RF00931	train	train	OK	2.4e-05
RF00027	RF01007	train	train	OK	0.0004
RF00027	RF01061	train	train	OK	0.00019
RF00027	RF01936	train	train	OK	6.1e-05
RF00027	RF01939	train	train	OK	0.0029
RF00027	RF02520	train	train	OK	8.5e-07
RF00027	RF03375	train	train	OK	3e-06
RF00027	RF03428	train	train	OK	0.0098
RF00027	RF03512	train	train	OK	1e-07
RF00027	RF03516	train	train	OK	0.00012
RF00027	RF03583	train	train	OK	0.0006
RF00027	RF03588	train	train	OK	8.1e-06
RF00027	RF03629	train	train	OK	0.00032
RF00027	RF03742	train	train	OK	0.0096
RF00027	RF03747	train	train	OK	0.0025
RF00027	RF03756	train	train	OK	0.00021
RF00027	RF03777	train	train	OK	8.7e-06
RF00027	RF03781	train	train	OK	2.2e-05
RF00027	RF03814	train	train	OK	1.8e-07
RF00027	RF03851	train	train	OK	1.5e-05
RF00027	RF03857	train	train	OK	1.7e-06
RF00027	RF03859	train	train	OK	7.9e-06
RF00027	RF03877	train	train	OK	7.6e-05
RF00027	RF03891	train	train	OK	0.0041
RF00027	RF03896	train	train	OK	0.00098
RF00027	RF03913	train	train	OK	7.4e-05
RF00027	RF03978	train	train	OK	0.00022
RF00027	RF03980	train	train	OK	2e-07
RF00027	RF03987	train	train	OK	5e-06
RF00027	RF03993	train	train	OK	0.00037
RF00027	RF04003	train	train	OK	2.5e-05
RF00027	RF04038	train	train	OK	6.3e-06
RF00027	RF04049	train	train	OK	4.2e-07
RF00027	RF04069	train	train	OK	1.2e-07
RF00027	RF04139	train	train	OK	0.00061
RF00027	RF04161	train	train	OK	5.3e-06
RF00027	RF04164	train	train	OK	0.0003
RF00027	RF04185	train	train	OK	3.7e-05
RF00027	RF04187	train	train	OK	2.3e-06
RF00027	RF04203	train	train	OK	7.6e-05
RF00027	RF04226	train	train	OK	0.0011
RF00027	RF04235	train	train	OK	0.00022
RF00027	RF04241	train	train	OK	0.00022
RF00027	RF04289	train	train	OK	9.4e-16
RF00028	RF00029	train	train	OK	0.00012
RF00028	RF01469	train	train	OK	0.0003
RF00030	RF00373	train	train	OK	1.8e-08
RF00030	RF02472	train	train	OK	7.3e-16
RF00031	RF01991	train	train	OK	9.9e-06
RF00031	RF04148	train	train	OK	0.0031
RF00032	RF03955	train	train	OK	0.0016
RF00033	RF02423	train	train	OK	0.0078
RF00033	RF02630	train	train	OK	0.00038
RF00033	RF02631	train	train	OK	0.0007
RF00033	RF02784	train	train	OK	3.3e-05
RF00033	RF02837	train	train	OK	0.00053
RF00034	RF01808	train	train	OK	0.0071
RF00034	RF02766	train	train	OK	0.00065
RF00034	RF02837	train	train	OK	0.00057
RF00034	RF03630	train	train	OK	0.0023
RF00035	RF02262	train	train	OK	0.0085
RF00036	RF01390	train	train	OK	1.5e-21
RF00036	RF03371	train	train	OK	0.0037
RF00036	RF03616	train	train	OK	0.00074
RF00036	RF03792	train	train	OK	1.3e-06
RF00036	RF03846	train	train	OK	0.0028
RF00037	RF01873	train	train	OK	0.001
RF00037	RF02253	train	train	OK	0.0044
RF00037	RF04265	train	train	OK	0.0088
RF00041	RF03822	train	train	OK	0.0076
RF00042	RF00110	train	train	OK	0.0026
RF00042	RF00756	train	train	OK	0.004
RF00042	RF01007	train	train	OK	0.00057
RF00042	RF01087	train	train	OK	1.1e-06
RF00042	RF01089	train	train	OK	2.3e-05
RF00042	RF03198	train	train	OK	0.0059
RF00042	RF03569	train	train	OK	0.0027
RF00042	RF03766	train	train	OK	0.00094
RF00042	RF03972	train	train	OK	0.0029
RF00042	RF04054	train	train	OK	0.0027
RF00043	RF00107	train	train	OK	0.0012
RF00043	RF01809	train	train	OK	1e-05
RF00043	RF01811	train	train	OK	8.6e-08
RF00043	RF02673	train	train	OK	0.00036
RF00045	RF01271	train	train	OK	1.7e-05
RF00045	RF01512	train	train	OK	0.0023
RF00045	RF03873	train	train	OK	0.0051
RF00046	RF00609	train	train	OK	1.2e-05
RF00047	RF00685	train	train	OK	0.0053
RF00047	RF00743	train	train	OK	9.7e-06
RF00047	RF00795	train	train	OK	0.0016
RF00047	RF00813	train	train	OK	0.00036
RF00047	RF00828	train	train	OK	0.0032
RF00047	RF00844	train	train	OK	0.0062
RF00047	RF00854	train	train	OK	0.0034
RF00047	RF03244	train	train	OK	0.0005
RF00047	RF03594	train	train	OK	0.0076
RF00047	RF03634	train	train	OK	2.5e-05
RF00047	RF03716	train	train	OK	0.0016
RF00047	RF03818	train	train	OK	0.0092
RF00047	RF04007	train	train	OK	0.0044
RF00047	RF04054	train	train	OK	0.00012
RF00047	RF04061	train	train	OK	0.00059
RF00047	RF04125	train	train	OK	0.00011
RF00047	RF04187	train	train	OK	0.00075
RF00047	RF04210	train	train	OK	4.5e-05
RF00049	RF00279	train	train	OK	0.0041
RF00049	RF00296	train	train	OK	0.0013
RF00049	RF00493	train	train	OK	0.00054
RF00049	RF00577	train	train	OK	0.0064
RF00049	RF00592	train	train	OK	0.00037
RF00049	RF01192	train	train	OK	0.0054
RF00049	RF01203	train	train	OK	1e-06
RF00049	RF01618	train	train	OK	0.0097
RF00050	RF00174	train	train	OK	0.0057
RF00050	RF01689	train	train	OK	0.0077
RF00051	RF00246	train	train	OK	4.4e-06
RF00051	RF00639	train	train	OK	0.0069
RF00051	RF00804	train	train	OK	2.6e-05
RF00051	RF00834	train	train	OK	0.0014
RF00051	RF00858	train	train	OK	0.00034
RF00051	RF00932	train	train	OK	0.0041
RF00051	RF00969	train	train	OK	0.0093
RF00051	RF00994	train	train	OK	7e-05
RF00051	RF01011	train	train	OK	3e-07
RF00051	RF02006	train	train	OK	0.0014
RF00051	RF03220	train	train	OK	0.0074
RF00051	RF03287	train	train	OK	1.7e-07
RF00051	RF03403	train	train	OK	0.0082
RF00051	RF03454	train	train	OK	0.0092
RF00051	RF03457	train	train	OK	7.7e-06
RF00051	RF03516	train	train	OK	6.4e-05
RF00051	RF03574	train	train	OK	9.2e-09
RF00051	RF03588	train	train	OK	0.00031
RF00051	RF03747	train	train	OK	0.00018
RF00051	RF03801	train	train	OK	0.0025
RF00051	RF03849	train	train	OK	0.009
RF00051	RF03857	train	train	OK	8.2e-05
RF00051	RF03862	train	train	OK	3.1e-05
RF00051	RF03974	train	train	OK	6.2e-06
RF00051	RF03975	train	train	OK	0.0014
RF00051	RF04002	train	train	OK	2.5e-05
RF00051	RF04013	train	train	OK	3.5e-06
RF00051	RF04019	train	train	OK	9e-06
RF00051	RF04038	train	train	OK	0.0083
RF00051	RF04145	train	train	OK	0.0053
RF00051	RF04197	train	train	OK	0.00025
RF00052	RF00707	train	train	OK	0.00015
RF00052	RF00719	train	train	OK	3.5e-05
RF00052	RF00897	train	train	OK	0.00015
RF00052	RF01020	train	train	OK	0.01
RF00052	RF03191	train	train	OK	0.0025
RF00052	RF03206	train	train	OK	0.00076
RF00052	RF03253	train	train	OK	0.0013
RF00052	RF03340	train	train	OK	0.00045
RF00052	RF03341	train	train	OK	0.0026
RF00052	RF03349	train	train	OK	2e-05
RF00052	RF03397	train	train	OK	0.0011
RF00052	RF03426	train	train	OK	6.8e-06
RF00052	RF03447	train	train	OK	0.0029
RF00052	RF03509	train	train	OK	0.00059
RF00052	RF03560	train	train	OK	0.0012
RF00052	RF03587	train	train	OK	0.00087
RF00052	RF03590	train	train	OK	0.0017
RF00052	RF03677	train	train	OK	1.9e-06
RF00052	RF03848	train	train	OK	0.002
RF00052	RF03900	train	train	OK	8.3e-07
RF00052	RF03935	train	train	OK	0.00048
RF00052	RF03964	train	train	OK	0.0062
RF00052	RF03992	train	train	OK	1.1e-06
RF00052	RF04123	train	train	OK	0.00027
RF00053	RF00256	train	train	OK	0.00069
RF00053	RF00456	train	train	OK	0.0042
RF00053	RF00639	train	train	OK	0.0073
RF00053	RF00640	train	train	OK	1e-09
RF00053	RF00685	train	train	OK	1.6e-05
RF00053	RF00795	train	train	OK	4.7e-05
RF00053	RF00848	train	train	OK	0.00041
RF00053	RF00856	train	train	OK	4e-07
RF00053	RF00870	train	train	OK	2.5e-06
RF00053	RF00887	train	train	OK	0.0067
RF00053	RF00910	train	train	OK	0.00023
RF00053	RF00925	train	train	OK	2.4e-08
RF00053	RF00961	train	train	OK	5.2e-08
RF00053	RF00962	train	train	OK	0.0013
RF00053	RF00972	train	train	OK	5.5e-06
RF00053	RF01061	train	train	OK	1.3e-07
RF00053	RF01612	train	train	OK	0.0058
RF00053	RF03173	train	train	OK	0.0035
RF00053	RF03235	train	train	OK	4.7e-08
RF00053	RF03237	train	train	OK	0.0011
RF00053	RF03244	train	train	OK	5.1e-08
RF00053	RF03278	train	train	OK	2.1e-05
RF00053	RF03316	train	train	OK	0.00031
RF00053	RF03323	train	train	OK	7.1e-07
RF00053	RF03331	train	train	OK	5.7e-07
RF00053	RF03354	train	train	OK	0.0021
RF00053	RF03366	train	train	OK	1.7e-05
RF00053	RF03423	train	train	OK	1.2e-06
RF00053	RF03426	train	train	OK	7.6e-05
RF00053	RF03450	train	train	OK	1.3e-05
RF00053	RF03459	train	train	OK	0.001
RF00053	RF03474	train	train	OK	0.0097
RF00053	RF03509	train	train	OK	7.7e-05
RF00053	RF03557	train	train	OK	8.7e-09
RF00053	RF03573	train	train	OK	5.4e-05
RF00053	RF03578	train	train	OK	0.00013
RF00053	RF03600	train	train	OK	2.3e-05
RF00053	RF03607	train	train	OK	0.00028
RF00053	RF03614	train	train	OK	1.3e-07
RF00053	RF03629	train	train	OK	4.7e-06
RF00053	RF03634	train	train	OK	4.4e-09
RF00053	RF03665	train	train	OK	3.5e-08
RF00053	RF03769	train	train	OK	8.1e-05
RF00053	RF03800	train	train	OK	2.8e-05
RF00053	RF03831	train	train	OK	0.00016
RF00053	RF03843	train	train	OK	0.0014
RF00053	RF03851	train	train	OK	0.00031
RF00053	RF03857	train	train	OK	7.9e-05
RF00053	RF03879	train	train	OK	0.00017
RF00053	RF03916	train	train	OK	4.3e-05
RF00053	RF03922	train	train	OK	0.0018
RF00053	RF03938	train	train	OK	0.0025
RF00053	RF03951	train	train	OK	0.00045
RF00053	RF03964	train	train	OK	1.2e-06
RF00053	RF03993	train	train	OK	1.1e-06
RF00053	RF04003	train	train	OK	1.1e-06
RF00053	RF04019	train	train	OK	9.8e-07
RF00053	RF04036	train	train	OK	6.8e-08
RF00053	RF04054	train	train	OK	4.7e-07
RF00053	RF04059	train	train	OK	7e-05
RF00053	RF04079	train	train	OK	0.00035
RF00053	RF04111	train	train	OK	0.0042
RF00053	RF04125	train	train	OK	2.1e-08
RF00053	RF04145	train	train	OK	0.0093
RF00053	RF04148	train	train	OK	4.5e-06
RF00053	RF04151	train	train	OK	3.5e-07
RF00053	RF04165	train	train	OK	0.00091
RF00053	RF04167	train	train	OK	0.00034
RF00053	RF04201	train	train	OK	7.1e-07
RF00053	RF04205	train	train	OK	0.0018
RF00053	RF04239	train	train	OK	1.3e-05
RF00053	RF04262	train	train	OK	5.4e-09
RF00054	RF01138	train	train	OK	0.0081
RF00056	RF00090	train	train	OK	0.004
RF00056	RF00231	train	train	OK	0.005
RF00057	RF02628	train	train	OK	0.0021
RF00057	RF02837	train	train	OK	0.00065
RF00058	RF00060	train	train	OK	0.0063
RF00058	RF00065	train	train	OK	0.00013
RF00058	RF00094	train	train	OK	0.00017
RF00060	RF00064	train	train	OK	8.7e-05
RF00061	RF00209	train	train	OK	1.6e-20
RF00062	RF02656	val	val	OK	0.00046
RF00065	RF00095	train	train	OK	5.2e-11
RF00065	RF01119	train	train	OK	0.0074
RF00065	RF01122	train	train	OK	0.0022
RF00065	RF01133	train	train	OK	0.00044
RF00065	RF01134	train	train	OK	0.0015
RF00065	RF01136	train	train	OK	7.9e-05
RF00065	RF01144	train	train	OK	0.00098
RF00065	RF01147	train	train	OK	0.0027
RF00065	RF01152	train	train	OK	0.0035
RF00065	RF01304	train	train	OK	0.0043
RF00065	RF01309	train	train	OK	0.0041
RF00065	RF01469	train	train	OK	8.5e-06
RF00065	RF03251	train	train	OK	0.0085
RF00065	RF03888	train	train	OK	0.002
RF00067	RF01226	train	train	OK	0.0023
RF00067	RF01623	train	train	OK	0.0025
RF00067	RF01864	train	train	OK	8.9e-08
RF00067	RF02287	train	train	OK	5.2e-05
RF00067	RF02539	train	train	OK	0.00049
RF00067	RF03451	train	train	OK	0.002
RF00069	RF00150	train	train	OK	0.0083
RF00069	RF00202	train	train	OK	0.0011
RF00069	RF01592	train	train	OK	2e-06
RF00069	RF02407	train	train	OK	0.004
RF00070	RF00087	train	train	OK	0.0076
RF00070	RF00151	train	train	OK	0.00079
RF00070	RF00479	train	train	OK	0.0047
RF00070	RF01153	train	train	OK	0.0011
RF00070	RF01198	train	train	OK	3.1e-05
RF00070	RF01600	train	train	OK	0.0079
RF00071	RF00281	train	train	OK	0.0002
RF00071	RF00318	train	train	OK	0.0072
RF00071	RF00331	train	train	OK	0.0072
RF00071	RF00721	train	train	OK	0.0044
RF00071	RF01423	train	train	OK	0.0022
RF00073	RF00254	train	train	OK	0.00028
RF00073	RF00661	train	train	OK	0.0001
RF00073	RF00676	train	train	OK	1.6e-05
RF00073	RF00690	train	train	OK	0.0079
RF00073	RF00695	train	train	OK	0.0006
RF00073	RF00706	train	train	OK	6.3e-08
RF00073	RF00707	train	train	OK	1.9e-08
RF00073	RF00714	train	train	OK	9.8e-09
RF00073	RF00768	train	train	OK	5.6e-07
RF00073	RF00771	train	train	OK	6.7e-08
RF00073	RF00839	train	train	OK	0.0014
RF00073	RF00846	train	train	OK	0.0003
RF00073	RF00858	train	train	OK	0.00039
RF00073	RF00864	train	train	OK	0.00062
RF00073	RF00896	train	train	OK	0.00078
RF00073	RF00904	train	train	OK	0.00097
RF00073	RF00908	train	train	OK	3.3e-06
RF00073	RF00956	train	train	OK	3.4e-06
RF00073	RF00965	train	train	OK	0.0023
RF00073	RF00969	train	train	OK	0.0094
RF00073	RF00994	train	train	OK	0.00023
RF00073	RF01943	train	train	OK	3.7e-05
RF00073	RF02006	train	train	OK	2.4e-07
RF00073	RF02244	train	train	OK	1.9e-05
RF00073	RF02400	train	train	OK	3.2e-08
RF00073	RF03182	train	train	OK	5.2e-08
RF00073	RF03191	train	train	OK	2.9e-06
RF00073	RF03192	train	train	OK	0.0045
RF00073	RF03225	train	train	OK	6.7e-06
RF00073	RF03306	train	train	OK	0.0045
RF00073	RF03308	train	train	OK	0.0015
RF00073	RF03316	train	train	OK	1.6e-06
RF00073	RF03327	train	train	OK	0.00015
RF00073	RF03329	train	train	OK	2.1e-07
RF00073	RF03356	train	train	OK	1.8e-06
RF00073	RF03360	train	train	OK	0.0016
RF00073	RF03373	train	train	OK	5.5e-06
RF00073	RF03375	train	train	OK	4.3e-06
RF00073	RF03423	train	train	OK	5.6e-06
RF00073	RF03450	train	train	OK	6.6e-06
RF00073	RF03457	train	train	OK	5.4e-10
RF00073	RF03557	train	train	OK	8.7e-07
RF00073	RF03573	train	train	OK	2.2e-06
RF00073	RF03629	train	train	OK	3.7e-06
RF00073	RF03703	train	train	OK	0.00043
RF00073	RF03777	train	train	OK	4.2e-07
RF00073	RF03792	train	train	OK	0.0021
RF00073	RF03799	train	train	OK	1.7e-05
RF00073	RF03814	train	train	OK	1.4e-06
RF00073	RF03831	train	train	OK	0.0077
RF00073	RF03843	train	train	OK	7.5e-05
RF00073	RF03846	train	train	OK	2.3e-06
RF00073	RF03973	train	train	OK	0.00014
RF00073	RF03980	train	train	OK	1.3e-06
RF00073	RF04007	train	train	OK	0.0048
RF00073	RF04050	train	train	OK	4e-05
RF00073	RF04079	train	train	OK	0.00079
RF00073	RF04085	train	train	OK	0.0048
RF00073	RF04094	train	train	OK	0.00071
RF00073	RF04102	train	train	OK	0.00012
RF00073	RF04108	train	train	OK	5.9e-07
RF00073	RF04139	train	train	OK	2.1e-05
RF00073	RF04159	train	train	OK	0.0016
RF00073	RF04164	train	train	OK	7.3e-07
RF00073	RF04176	train	train	OK	0.00018
RF00073	RF04185	train	train	OK	0.0067
RF00073	RF04187	train	train	OK	1.6e-06
RF00073	RF04235	train	train	OK	1.5e-05
RF00073	RF04288	train	train	OK	3.2e-06
RF00074	RF00691	train	train	OK	0.00099
RF00074	RF00804	train	train	OK	0.00051
RF00074	RF00810	train	train	OK	0.0031
RF00074	RF00812	train	train	OK	3.5e-08
RF00074	RF00855	train	train	OK	0.0074
RF00074	RF00901	train	train	OK	2e-07
RF00074	RF01024	train	train	OK	0.0082
RF00074	RF03284	train	train	OK	0.00073
RF00074	RF03394	train	train	OK	0.00098
RF00074	RF03423	train	train	OK	0.0024
RF00074	RF03616	train	train	OK	8.8e-05
RF00074	RF03631	train	train	OK	2.2e-05
RF00074	RF03656	train	train	OK	0.0015
RF00074	RF03719	train	train	OK	0.0001
RF00074	RF03722	train	train	OK	0.00071
RF00074	RF03734	train	train	OK	3.1e-08
RF00074	RF03813	train	train	OK	0.0079
RF00074	RF04003	train	train	OK	0.00096
RF00074	RF04006	train	train	OK	1.4e-05
RF00074	RF04054	train	train	OK	2.2e-06
RF00074	RF04061	train	train	OK	0.0042
RF00074	RF04112	train	train	OK	0.00015
RF00074	RF04145	train	train	OK	0.00067
RF00074	RF04202	train	train	OK	6.9e-05
RF00074	RF04209	train	train	OK	0.0088
RF00074	RF04211	train	train	OK	8.1e-06
RF00074	RF04251	train	train	OK	0.00011
RF00075	RF00704	train	train	OK	0.00036
RF00075	RF00721	train	train	OK	0.00033
RF00075	RF00796	train	train	OK	1.1e-05
RF00075	RF01000	train	train	OK	0.0057
RF00075	RF01011	train	train	OK	0.0037
RF00075	RF01013	train	train	OK	6.6e-05
RF00075	RF02625	train	train	OK	2.3e-05
RF00075	RF03306	train	train	OK	8.2e-07
RF00075	RF03338	train	train	OK	5e-05
RF00075	RF03516	train	train	OK	0.00032
RF00075	RF03557	train	train	OK	4.6e-05
RF00075	RF03598	train	train	OK	1.5e-06
RF00075	RF03634	train	train	OK	0.00026
RF00075	RF03693	train	train	OK	8.6e-05
RF00075	RF03702	train	train	OK	8.8e-05
RF00075	RF03744	train	train	OK	0.006
RF00075	RF03761	train	train	OK	3.5e-05
RF00075	RF03785	train	train	OK	2.3e-05
RF00075	RF03880	train	train	OK	0.002
RF00075	RF03974	train	train	OK	2.7e-06
RF00075	RF04055	train	train	OK	0.0087
RF00075	RF04118	train	train	OK	1.8e-05
RF00075	RF04125	train	train	OK	1.9e-07
RF00075	RF04148	train	train	OK	6.7e-08
RF00075	RF04172	train	train	OK	1e-05
RF00075	RF04205	train	train	OK	5.8e-06
RF00075	RF04206	train	train	OK	5.4e-05
RF00075	RF04241	train	train	OK	3.3e-05
RF00075	RF04263	train	train	OK	0.00086
RF00076	RF00833	train	train	OK	5.5e-06
RF00076	RF03278	train	train	OK	2.8e-05
RF00076	RF03404	train	train	OK	0.00067
RF00076	RF03423	train	train	OK	0.0088
RF00076	RF03802	train	train	OK	0.00083
RF00076	RF03818	train	train	OK	0.00078
RF00076	RF04069	train	train	OK	7.6e-06
RF00076	RF04081	train	train	OK	0.0061
RF00076	RF04144	train	train	OK	0.00065
RF00076	RF04239	train	train	OK	0.0013
RF00076	RF04263	train	train	OK	1.5e-06
RF00077	RF02601	train	train	OK	0.0024
RF00079	RF00121	train	train	OK	0.0011
RF00079	RF00512	train	train	OK	5.4e-06
RF00079	RF00534	train	train	OK	0.009
RF00079	RF02095	train	train	OK	0.0034
RF00079	RF03421	train	train	OK	0.0071
RF00080	RF02617	train	train	OK	0.00013
RF00082	RF01409	train	train	OK	0.0033
RF00082	RF02880	train	train	OK	0.0032
RF00083	RF00128	train	train	OK	1.2e-17
RF00083	RF02376	train	train	OK	0.0053
RF00083	RF02901	train	train	OK	0.0017
RF00084	RF00166	train	train	OK	4.8e-05
RF00084	RF00506	train	train	OK	0.00075
RF00084	RF00766	train	train	OK	0.00094
RF00084	RF00873	train	train	OK	1.9e-06
RF00084	RF01409	train	train	OK	2.4e-05
RF00084	RF02057	train	train	OK	0.00078
RF00084	RF02353	train	train	OK	0.00015
RF00084	RF02376	train	train	OK	0.00021
RF00084	RF02432	train	train	OK	1.9e-05
RF00084	RF02601	train	train	OK	0.00073
RF00084	RF02621	train	train	OK	2.9e-06
RF00084	RF02728	train	train	OK	0.00055
RF00084	RF02767	train	train	OK	3.2e-10
RF00084	RF03269	train	train	OK	2.8e-06
RF00084	RF03360	train	train	OK	0.00056
RF00084	RF03556	train	train	OK	8.9e-08
RF00084	RF03583	train	train	OK	4.9e-06
RF00084	RF03598	train	train	OK	0.00017
RF00084	RF03629	train	train	OK	4.5e-05
RF00084	RF03637	train	train	OK	5.5e-08
RF00084	RF03669	train	train	OK	0.0072
RF00084	RF03713	train	train	OK	0.0043
RF00084	RF03778	train	train	OK	0.0018
RF00084	RF03792	train	train	OK	0.0015
RF00084	RF03831	train	train	OK	7.6e-07
RF00084	RF03846	train	train	OK	5.8e-07
RF00084	RF03862	train	train	OK	0.00052
RF00084	RF04050	train	train	OK	0.00016
RF00084	RF04148	train	train	OK	0.0034
RF00084	RF04159	train	train	OK	0.00086
RF00084	RF04164	train	train	OK	0.00051
RF00084	RF04203	train	train	OK	0.0056
RF00084	RF04246	train	train	OK	0.00019
RF00084	RF04262	train	train	OK	0.0069
RF00086	RF00273	train	train	OK	0.00079
RF00086	RF00289	train	train	OK	0.0017
RF00086	RF00577	train	train	OK	0.00098
RF00086	RF01191	train	train	OK	4.3e-05
RF00086	RF02303	train	train	OK	0.0074
RF00086	RF02408	train	train	OK	0.005
RF00087	RF00136	train	train	OK	0.0017
RF00087	RF00151	train	train	OK	0.00025
RF00087	RF00273	train	train	OK	8.4e-05
RF00087	RF00324	train	train	OK	0.0078
RF00087	RF00330	train	train	OK	0.00087
RF00087	RF00611	train	train	OK	8.7e-05
RF00087	RF01153	train	train	OK	0.00094
RF00087	RF01618	train	train	OK	0.0046
RF00089	RF00213	train	train	OK	0.00085
RF00089	RF01177	train	train	OK	0.0014
RF00089	RF01285	train	train	OK	0.00054
RF00089	RF01301	train	train	OK	8.7e-05
RF00089	RF01563	train	train	OK	0.0003
RF00089	RF01587	train	train	OK	0.0024
RF00089	RF01646	train	train	OK	1.8e-06
RF00089	RF01856	train	train	OK	0.0031
RF00089	RF02288	train	train	OK	0.0078
RF00089	RF02473	train	train	OK	0.00019
RF00090	RF00858	train	train	OK	0.0039
RF00090	RF00926	train	train	OK	0.00061
